1,AGUILERA INTERNACIONAL,SUCRE 01-08 Y EMILIANO ORTEGA,Primera,2584660,EXT. 123,ricar2aguilera@hotmail.com,Hostal,Alojamiento,
2,ALBORADA,SUCRE 12-91 Y LOURDES,Tercera,2587765,,hotelalborada@hotmail.es,Hostal,Alojamiento,
3,AMÉRICA,18 DE NOVIEMBRE 04-84 E IMBABURA ,Primera,,2562887,hostal.america@gmail.com,Hostal,Alojamiento,
4,CASA LOJANA LA ,AV. ZOILO RODRIGUEZ 308 Y PARIS,Primera,2585985,2585984,casalojanahotel@utpl.edu.ec,Hostal,Alojamiento,
5,CENTRAL PARK,10 DE AGOSTO Y BOLIVAR ESQ.,Primera,,2561103,,Hostal,Alojamiento,
6,DELBUS,AV. 8 DE DICIEMBRE Y JUAN JOSE FLORES,Primera,2575100,2572297,hoteldelbus@gmail.com,Hostal,Alojamiento,
7,DEL VALLE,AV. SALVADOR BUSTAMANTE CELI Y STA ROSA,Segunda,2587967,,,Hostal,Alojamiento,
8,LIRIOS LOS,JOSÉ MA. PEÑA E MIGUEL RIOFRÍO Y ROCAF.,Tercera,2588563,2574651,,Hostal,Alojamiento,
9,LOJA,ROCAFUERTE 15-39 E/ SUCRE Y 18 NOVIEMBRE,Tercera,2570241,,,Hostal,Alojamiento,
10,BERLIN,18 DE NOVIEMBRE Y GONZANAMA,Tercera,2562275,,,Hostal Residencia,Alojamiento,
11,CHANDELIER,IMBABURA 14-82 E/ SUCRE Y BOLIVAR,Tercera,2563061,2578233,chandelierhotel@hotmail.com,Hostal Residencia,Alojamiento,
12,GAVIOTA AZUL,AV. 8 DE DICIEMBRE  15-44 Y AV. ISIDRO AYORA,Tercera,,2575524,,Hostal Residencia,Alojamiento,
13,HIDALGO,LAURO GUERRERO Y 10 DE AGOSTO,Tercera,2560174,,,Hostal Residencia,Alojamiento,
14,INCA,AV. UNIVERSITARIA 08-24 Y 10 DE AGOSTO,Segunda,2571415,,,Hostal Residencia,Alojamiento,
15,INTERNACIONAL,10 DE AGOSTO 15-28 18 NOVIEMBRE Y SUCRE,Tercera,2578486,,,Hostal Residencia,Alojamiento,
16,LONDRES,SUCRE 07-51 Y 10 DE AGOSTO,Tercera,2561936,,,Hostal Residencia,Alojamiento,
17,MARBELLA,AV. ISIDRO AYORA Y OCHO DE DICIEMBRE,Tercera,2577002,,,Hostal Residencia,Alojamiento,
18,MERCADILLO,OLMEDO 12-26 Y MERCADILLO,Tercera,2561003,,,Hostal Residencia,Alojamiento,
19,METROPOLITANO,18 NOVIEMBRE 06-31 E/ COLON Y JOSE ANTNIO EGUIGUREN,Tercera,2570007,,hals_martinez2000@yahoo.es,Hostal Residencia,Alojamiento,
20,ORQUIDEAS,BOLIVAR 08-59 Y 10 DE AGOSTO,Tercera,,2587008,hlorquideasloja@hotmail.com,Hostal Residencia,Alojamiento,
21,PEÑA LA,AV. CUXIBAMBA Y LAUTARO LOAIZA,Tercera,2560760,,,Hostal Residencia,Alojamiento,
22,PRIMAVERA,COLON 1650 Y 18 NOVIEMBRE,Tercera,,,,Hostal Residencia,Alojamiento,
23,PUCARA,AZUAY E/ AV. LAURO GUERRERO E IBEROAM.,Tercera,2578683,,,Hostal Residencia,Alojamiento,
24,SAN LUIS,SUCRE 04-62 E/ IMBABURA Y QUITO,Tercera,,2570370,jicastillo1960@hotmail.com,Hostal Residencia,Alojamiento,
